date,est_jour_ferie,nom_jour_ferie
1970-05-18,True,Lundi de Pentecôte
1970-07-14,True,Fête Nationale
1970-08-15,True,Assomption
1970-11-01,True,Toussaint
1970-11-11,True,Armistice
1970-12-25,True,Noël
1970-12-26,True,Saint Étienne
1971-01-01,True,Jour de l'an
1971-04-09,True,Vendredi Saint
1971-04-12,True,Lundi de Pâques
1971-05-01,True,Fête du travail
1971-05-08,True,Victoire des alliés
1971-05-20,True,Ascension
1971-05-31,True,Lundi de Pentecôte
1971-07-14,True,Fête Nationale
1971-08-15,True,Assomption
1971-11-01,True,Toussaint
1971-11-11,True,Armistice
1971-12-25,True,Noël
1971-12-26,True,Saint Étienne
1972-01-01,True,Jour de l'an
1972-03-31,True,Vendredi Saint
1972-04-03,True,Lundi de Pâques
1972-05-01,True,Fête du travail
1972-05-08,True,Victoire des alliés
1972-05-11,True,Ascension
1972-05-22,True,Lundi de Pentecôte
1972-07-14,True,Fête Nationale
1972-08-15,True,Assomption
1972-11-01,True,Toussaint
1972-11-11,True,Armistice
1972-12-25,True,Noël
1972-12-26,True,Saint Étienne
1973-01-01,True,Jour de l'an
1973-04-20,True,Vendredi Saint
1973-04-23,True,Lundi de Pâques
1973-05-01,True,Fête du travail
1973-05-08,True,Victoire des alliés
1973-05-31,True,Ascension
1973-06-11,True,Lundi de Pentecôte
1973-07-14,True,Fête Nationale
1973-08-15,True,Assomption
1973-11-01,True,Toussaint
1973-11-11,True,Armistice
1973-12-25,True,Noël
1973-12-26,True,Saint Étienne
1974-01-01,True,Jour de l'an
1974-04-12,True,Vendredi Saint
1974-04-15,True,Lundi de Pâques
1974-05-01,True,Fête du travail
1974-05-08,True,Victoire des alliés
1974-05-23,True,Ascension
1974-06-03,True,Lundi de Pentecôte
1974-07-14,True,Fête Nationale
1974-08-15,True,Assomption
1974-11-01,True,Toussaint
1974-11-11,True,Armistice
1974-12-25,True,Noël
1974-12-26,True,Saint Étienne
1975-01-01,True,Jour de l'an
1975-03-28,True,Vendredi Saint
1975-03-31,True,Lundi de Pâques
1975-05-01,True,Fête du travail
1975-05-08,True,Victoire des alliés
1975-05-19,True,Lundi de Pentecôte
1975-07-14,True,Fête Nationale
1975-08-15,True,Assomption
1975-11-01,True,Toussaint
1975-11-11,True,Armistice
1975-12-25,True,Noël
1975-12-26,True,Saint Étienne
1976-01-01,True,Jour de l'an
1976-04-16,True,Vendredi Saint
1976-04-19,True,Lundi de Pâques
1976-05-01,True,Fête du travail
1976-05-08,True,Victoire des alliés
1976-05-27,True,Ascension
1976-06-07,True,Lundi de Pentecôte
1976-07-14,True,Fête Nationale
1976-08-15,True,Assomption
1976-11-01,True,Toussaint
1976-11-11,True,Armistice
1976-12-25,True,Noël
1976-12-26,True,Saint Étienne
1977-01-01,True,Jour de l'an
1977-04-08,True,Vendredi Saint
1977-04-11,True,Lundi de Pâques
1977-05-01,True,Fête du travail
1977-05-08,True,Victoire des alliés
1977-05-19,True,Ascension
1977-05-30,True,Lundi de Pentecôte
1977-07-14,True,Fête Nationale
1977-08-15,True,Assomption
1977-11-01,True,Toussaint
1977-11-11,True,Armistice
1977-12-25,True,Noël
1977-12-26,True,Saint Étienne
1978-01-01,True,Jour de l'an
1978-03-24,True,Vendredi Saint
1978-03-27,True,Lundi de Pâques
1978-05-01,True,Fête du travail
1978-05-04,True,Ascension
1978-05-08,True,Victoire des alliés
1978-05-15,True,Lundi de Pentecôte
1978-07-14,True,Fête Nationale
1978-08-15,True,Assomption
1978-11-01,True,Toussaint
1978-11-11,True,Armistice
1978-12-25,True,Noël
1978-12-26,True,Saint Étienne
1979-01-01,True,Jour de l'an
1979-04-13,True,Vendredi Saint
1979-04-16,True,Lundi de Pâques
1979-05-01,True,Fête du travail
1979-05-08,True,Victoire des alliés
1979-05-24,True,Ascension
1979-06-04,True,Lundi de Pentecôte
1979-07-14,True,Fête Nationale
1979-08-15,True,Assomption
1979-11-01,True,Toussaint
1979-11-11,True,Armistice
1979-12-25,True,Noël
1979-12-26,True,Saint Étienne
1980-01-01,True,Jour de l'an
1980-04-04,True,Vendredi Saint
1980-04-07,True,Lundi de Pâques
1980-05-01,True,Fête du travail
1980-05-08,True,Victoire des alliés
1980-05-15,True,Ascension
1980-05-26,True,Lundi de Pentecôte
1980-07-14,True,Fête Nationale
1980-08-15,True,Assomption
1980-11-01,True,Toussaint
1980-11-11,True,Armistice
1980-12-25,True,Noël
1980-12-26,True,Saint Étienne
1981-01-01,True,Jour de l'an
1981-04-17,True,Vendredi Saint
1981-04-20,True,Lundi de Pâques
1981-05-01,True,Fête du travail
1981-05-08,True,Victoire des alliés
1981-05-28,True,Ascension
1981-06-08,True,Lundi de Pentecôte
1981-07-14,True,Fête Nationale
1981-08-15,True,Assomption
1981-11-01,True,Toussaint
1981-11-11,True,Armistice
1981-12-25,True,Noël
1981-12-26,True,Saint Étienne
1982-01-01,True,Jour de l'an
1982-04-09,True,Vendredi Saint
1982-04-12,True,Lundi de Pâques
1982-05-01,True,Fête du travail
1982-05-08,True,Victoire des alliés
1982-05-20,True,Ascension
1982-05-31,True,Lundi de Pentecôte
1982-07-14,True,Fête Nationale
1982-08-15,True,Assomption
1982-11-01,True,Toussaint
1982-11-11,True,Armistice
1982-12-25,True,Noël
1982-12-26,True,Saint Étienne
1983-01-01,True,Jour de l'an
1983-04-01,True,Vendredi Saint
1983-04-04,True,Lundi de Pâques
1983-05-01,True,Fête du travail
1983-05-08,True,Victoire des alliés
1983-05-12,True,Ascension
1983-05-23,True,Lundi de Pentecôte
1983-07-14,True,Fête Nationale
1983-08-15,True,Assomption
1983-11-01,True,Toussaint
1983-11-11,True,Armistice
1983-12-25,True,Noël
1983-12-26,True,Saint Étienne
1984-01-01,True,Jour de l'an
1984-04-20,True,Vendredi Saint
1984-04-23,True,Lundi de Pâques
1984-05-01,True,Fête du travail
1984-05-08,True,Victoire des alliés
1984-05-31,True,Ascension
1984-06-11,True,Lundi de Pentecôte
1984-07-14,True,Fête Nationale
1984-08-15,True,Assomption
1984-11-01,True,Toussaint
1984-11-11,True,Armistice
1984-12-25,True,Noël
1984-12-26,True,Saint Étienne
1985-01-01,True,Jour de l'an
1985-04-05,True,Vendredi Saint
1985-04-08,True,Lundi de Pâques
1985-05-01,True,Fête du travail
1985-05-08,True,Victoire des alliés
1985-05-16,True,Ascension
1985-05-27,True,Lundi de Pentecôte
1985-07-14,True,Fête Nationale
1985-08-15,True,Assomption
1985-11-01,True,Toussaint
1985-11-11,True,Armistice
1985-12-25,True,Noël
1985-12-26,True,Saint Étienne
1986-01-01,True,Jour de l'an
1986-03-28,True,Vendredi Saint
1986-03-31,True,Lundi de Pâques
1986-05-01,True,Fête du travail
1986-05-08,True,Victoire des alliés
1986-05-19,True,Lundi de Pentecôte
1986-07-14,True,Fête Nationale
1986-08-15,True,Assomption
1986-11-01,True,Toussaint
1986-11-11,True,Armistice
1986-12-25,True,Noël
1986-12-26,True,Saint Étienne
1987-01-01,True,Jour de l'an
1987-04-17,True,Vendredi Saint
1987-04-20,True,Lundi de Pâques
1987-05-01,True,Fête du travail
1987-05-08,True,Victoire des alliés
1987-05-28,True,Ascension
1987-06-08,True,Lundi de Pentecôte
1987-07-14,True,Fête Nationale
1987-08-15,True,Assomption
1987-11-01,True,Toussaint
1987-11-11,True,Armistice
